"Name";"global_id";"Razdel";"Prazdel";"Kod";"Nomdescr";"Idx";
"Производство аппаратуры для приема, записи и воспроизведения звука и  изображения";"273129678";"D";"DL";"32.3";"";"1399";
"Рыболовство в реках, озерах, водохранилищах и прудах";"273129680";"B";"BA";"05.01.2";"Эта группировка включает:^- рыболовство в реках, озерах, водохранилищах и прудах^- добычу пресноводных ракообразных и моллюсков^- сбор раковин и панцирей пресноводных моллюсков и ракообразных^Эта группировка не включает:^- спортивно-любительское рыболовство и предоставление услуг в этой области, см. 92.62";"140";
"Производство аппаратуры для приема, записи и воспроизведения звука и  изображения";"273129682";"D";"DL";"32.30";"";"1400";
"Производство радиоприемников";"273129684";"D";"DL";"32.30.1";"";"1401";
"Производство телевизионных приемников, включая видеомониторы и  видеопроекторы";"273129686";"D";"DL";"32.30.2";"";"1402";
"Производство звукозаписывающей и звуковоспроизводящей аппаратуры и аппаратуры для записи и воспроизведения изображений";"273129687";"D";"DL";"32.30.3";"Эта группировка включает:^- производство электропроигрывателей грампластинок, кассетных проигрывателей, проигрывателей компакт-дисков и другой звуковоспроизводящей аппаратуры, не имеющей звукозаписывающих устройств^- производство магнитофонов и другой аппаратуры для записи и воспроизведения звука, включая телефонные ответчики, кассетные магнитофоны и пр.^- производство аппаратуры для видеозаписи или видеовоспроизведения, включая видеокамеры, устройства для записи и воспроизведения цифровых видеодисков (DVD)^- производство цифровых фотокамер";"1403";
"Производство электроакустической аппаратуры";"273129689";"D";"DL";"32.30.4";"Эта группировка включает:^- производство микрофонов и подставок для них^- производство громкоговорителей, головных телефонов, наушников и комплектов микрофон/громкоговоритель^- производство усилителей звуковых частот и прочих электрических устройствдля усиления звука^- производство аппаратуры для синхронного перевода, проведения голосования и конференций, прочей электроакустической аппаратуры";"1406";
"Производство частей звукозаписывающей и звуковоспроизводящей аппаратуры и видеоаппаратуры; антенн";"273129691";"D";"DL";"32.30.5";"Эта группировка включает:^- производство звукоснимателей, тонармов, звуковых головок, дисков для электропроигрывателей, телевизионных декодеров, эквалайзеров^- производство антенн и отражателей всех видов, включая поворотные устройства для антенн, антенных рефлекторов, кабельных конвертеров^- производство деталей, узлов, блоков и прочих частей звукозаписывающей и звуковоспроизводящей аппаратуры, теле- и радиоприемников, радиопередатчиков, антенн и отражателей";"1408";
"Предоставление услуг по монтажу, ремонту и техническому обслуживанию профессиональной радио-, телевизионной, звукозаписывающей и звуковоспроизводящей аппаратуры и видеоаппаратуры";"273129693";"D";"DL";"32.30.9";"Эта группировка также включает проведение пусконаладочных работ^Эта группировка не включает:^- издание и копирование звуко- и видеозаписей на магнитных лентах, компакт-дисках (CD) и цифровых видеодисках (DVD), см. 22.14, 22.3, 92.11^- монтаж электропроводки в зданиях, установка антенн и систем сигнализации, см. 45.31^- ремонт бытовых радио-, теле-, звуко- и видеоаппаратуры, см. 52.72.1";"1410";
"Производство медицинских изделий; средств измерений, контроля, управления и испытаний; оптических приборов, фото- и кинооборудования; часов";"273129694";"D";"DL";"33";"Этот класс также включает установку и ремонт таких промышленных приборов и аппаратуры. Ремонт бытовых изделий относится к подклассу 52.7. К классу 33 относятся не только научные и технические приборы и аппаратура (например электродиагностическая аппаратура, авиационное электронное оборудование и т.п.), а также фото- и киноаппаратура, приборы контроля и регулирования технологических процессов, предметы личного пользования (например, часы, очки и т.п.).";"1412";
"Производство медицинских изделий, включая хирургическое оборудование, и ортопедических приспособлений";"273129697";"D";"DL";"33.1";"";"1414";
"Производство медицинских изделий, включая хирургическое оборудование, и ортопедических приспособлений";"273129698";"D";"DL";"33.10";"";"1415";
"Производство аппаратуры, основанной на использовании рентгеновского, альфа-, бета- и гамма- излучений; медицинского инструмента, оборудования и приспособлений; диагностической и терапевтической аппаратуры; специализированных средств защиты; их составных частей";"273129699";"D";"DL";"33.10.1";"Эта группировка включает:^- производство аппаратуры, основанной на использовании рентгеновского, а также альфа-, бета- и гамма-излучений, предназначенной или не предназначенной для медицинского или ветеринарного применения^- производство медицинскойэлектродиагностической аппаратуры (электрокардиографов, аппаратов ультразвукового сканирования, магнитно-резонансных и прочих томографов, сцинтиграфической аппаратуры и пр.) и аппаратуры, основанной на использовании ультрафиолетового или инфракрасного излучений^- производство инструментов и приспособлений, используемых в стоматологии^- производство медицинских и лабораторных стерилизаторов^- производство медицинских шприцев, игл, катетеров, канюлей и аналогичных инструментов; офтальмологическихприборов и устройств; прочих инструментов и оборудования (приборов для измерения кровяного давления, эндоскопов)^- производство гемодиализного, диатермического, наркозного оборудования; оборудования для переливания крови; прочих приборов и устройств,не включенных в другие группировки^- производство аппаратуры для механотерапии, массажных аппаратов, аппаратуры для психологических тестов на профпригодность, аппаратуры для озоновой, кислородной и аэрозольной терапии, искусственного дыхания и прочей дыхательной аппаратуры, включая газовые маски, кроме защитных, и акваланги^- производство всех типов защитных костюмов со встроенной аппаратурой для дыхания, включая скафандры и специализированные средства защиты^- производство искусственных суставов, ортопедических приспособлений и обуви, искусственных зубов, зуботехнических приспособлений, искусственных частей человеческого тела и органов жизнедеятельности человека, не включенных в другие группировки^- производство слуховых аппаратов, кардиостимуляторов^- производство составных частей и принадлежностей протезов и ортопедических приспособлений^- производство ортопедических приспособлений для животных^Эта группировка не включает:^- производство стоматологических цементов и других стоматологических пломбировочных материалов, см. 24.42.2^- производство зуботехнических восков в наборах и упаковках для розничной продажи, см. 24.66.4^- производство зубоврачебных кресел без стоматологического оборудования, см. 33.10.2^- производство масокдля защиты от пыли и частиц материалов, не снабженных сменными фильтрами, см. 17.40^- производство масок для ныряльщиков без баллонов с кислородом или сжатым воздухом, см. 36.40^- производство термометров, см. 33.20.5^- производство очков, контактныхлинз, корригирующих очковых линз и оправ для них, оптических микроскопов, см. 33.40^- производство защитных костюмов, не оборудованных приборами для дыхания, см. 18.21, 25.13^- производство бронежилетов, см. 17.40";"1416";
